title,url,tags
StatQuest Youtube (Josh Starmer),https://www.youtube.com/@statquest,deep-learning|educational|methods|video
Temporally distinct 3D multi-omic dynamics in the developing human brain (Heffel 2024),https://www.nature.com/articles/s41586-024-08030-7,article|DOHaD|luo-lab|methylation|multiomics|neuroscience|single-cell
Ten simple rules for effective presentation slides (Naegle 2021),https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009554,scicom
Ten simple rules for structuring papers (Mensh 2017),https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005619,scicom|academia
The Carpentries Lessons,https://carpentries.org/lessons/,coding|educational|terminal|R|python
The Good Research Code Handbook (Patrick Mineault 2022),https://goodresearch.dev/,coding|educational
The Hitchhiker's Guide to Hi-C Analysis: Practical guidelines (Lajoie 2016),The Hitchhiker's Guide to Hi-C Analysis: Practical guidelines (Lajoie 2016),3D-genome|review
The Illustrated Guide to a Ph.D./Grad School App Advice (Matt Might),https://matt.might.net/articles/phd-school-in-pictures/,academia|career
Theis Lab Single-Cell Best Practices (Heumos 2023),https://www.sc-best-practices.org/,educational|multiomics|single-cell
Two decades of induced pluripotent stem cell research: From discovery to diverse applications (Yamanaka 2026),https://www.cell.com/cell-stem-cell/fulltext/S1934-5909(26)00073-1,reprogramming|review
UNH Collection of Mentoring Guide: Resources for Mentees,https://libraryguides.unh.edu/c.php?g=1403337&p=10385147,career|mentorship
Where are the disease-associated eQTLs? (Umans 2021),https://www.cell.com/trends/genetics/fulltext/S0168-9525(20)30248-9,QTL|review
X. Shirley Liu Intro to Computational Biology (Youtube Series),https://www.youtube.com/watch?v=Stp1PhG8Ka8&list=PLeB-Dlq-v6tY3QLdQBA7rwb4a7fK9mLpv,educational|methods|single-cell|video
